iter	Passed	Remaining
638	93636	52899
639	93942	52842
640	94157	52734
641	94352	52613
642	94501	52468
643	94649	52321
644	94801	52177
645	94994	52055
646	95144	51910
647	95421	51833
648	95573	51688
649	95728	51545
650	95879	51400
651	96046	51264
652	96179	51109
653	96336	50966
654	96495	50825
655	96645	50679
656	96809	50541
657	96973	50402
658	97208	50300
659	97376	50163
660	97541	50025
661	97814	49941
662	97956	49790
663	98089	49635
664	98286	49512
665	98445	49370
666	98594	49223
667	98778	49093
668	98985	48974
669	99160	48840
670	99313	48694
671	99488	48559
672	99659	48422
673	99808	48275
674	99988	48142
675	100223	48035
676	100475	47937
677	100631	47792
678	100780	47644
679	100915	47489
680	101056	47337
681	101208	47190
682	101383	47055
683	101545	46912
684	101706	46770
685	101845	46617
686	102002	46472
687	102149	46323
688	102308	46179
689	102502	46051
690	102650	45902
691	102772	45742
692	102904	45586
693	103050	45437
694	103159	45271
695	103250	45098
696	103349	44928
697	103470	44768
698	103562	44595
699	103714	44449
700	103854	44297
701	103952	44127
702	104045	43956
703	104191	43807
704	104331	43656
705	104458	43499
706	104602	43350
707	104748	43201
708	104893	43052
709	105025	42897
710	105176	42751
711	105273	42582
712	105377	42416
713	105499	42258
714	105634	42106
715	105782	41958
716	105921	41807
717	106069	41659
718	106226	41515
719	106358	41361
720	106509	41215
721	106654	41066
722	106765	40904
723	106856	40735
724	106950	40567
725	107062	40406
726	107190	40251
727	107309	40093
728	107450	39943
729	107603	39798
730	107748	39650
731	107933	39516
732	108109	39379
733	108247	39228
734	108381	39076
735	108495	38916
736	108642	38769
737	108801	38625
738	108947	38478
739	109083	38326
740	109209	38171
741	109359	38025
742	109507	37877
743	109643	37726
744	109801	37583
745	109929	37429
746	110121	37296
747	110526	37236
748	110658	37082
749	110779	36926
750	110956	36788
751	111075	36631
752	111200	36475
753	111306	36314
754	111413	36154
755	111542	36000
756	111686	35851
757	111834	35704
758	111979	35556
759	112133	35410
760	112281	35263
761	112454	35123
762	112610	34978
763	112761	34832
764	112858	34669
765	112962	34508
766	113064	34346
767	113163	34184
768	113266	34024
769	113400	33872
770	113498	33711
771	113597	33549
772	113689	33386
773	113816	33233
774	113910	33070
775	114003	32908
776	114117	32751
777	114239	32597
778	114342	32438
779	114443	32278
780	114539	32118
781	114643	31959
782	114742	31799
783	114842	31640
784	114955	31484
785	115089	31334
786	115245	31191
787	115341	31030
788	115436	30870
789	115546	30714
790	115640	30554
791	115742	30397
792	115838	30237
793	115931	30077
794	116063	29928
795	116204	29781
796	116342	29632
797	116454	29478
798	116600	29332
799	116694	29173
800	116786	29014
801	116879	28855
802	116975	28697
803	117066	28538
804	117187	28387
805	117279	28228
806	117373	28070
807	117485	27917
808	117580	27760
809	117743	27618
810	117838	27461
811	117938	27306
812	118109	27166
813	118216	27012
814	118312	26856
815	118450	26709
816	118548	26553
817	118647	26398
818	118743	26242
819	118836	26086
820	118933	25930
821	119043	25778
822	119142	25623
823	119261	25473
824	119357	25318
825	119465	25165
826	119562	25011
827	119669	24858
828	119767	24704
829	119874	24552
830	119965	24397
831	120059	24242
832	120151	24087
833	120383	23961
834	120485	23808
835	120619	23662
836	120731	23511
837	120852	23362
838	120959	23211
839	121107	23068
840	121261	22925
841	121443	22788
842	121586	22644
843	121732	22500
844	121861	22353
845	121962	22201
846	122059	22048
847	122162	21896
848	122260	21744
849	122369	21594
850	122471	21443
851	122577	21292
852	122673	21140
853	122765	20988
854	122854	20834
855	122955	20684
856	123052	20532
857	123147	20381
858	123236	20228
859	123339	20078
860	123436	19927
861	123541	19778
862	123639	19627
863	123733	19476
864	123824	19325
865	123976	19183
866	124093	19036
867	124254	18895
868	124401	18753
869	124537	18609
870	124656	18462
871	124805	18320
872	124886	18167
873	125027	18024
874	125158	17879
875	125252	17729
876	125394	17586
877	125524	17441
878	125656	17297
879	125751	17147
880	125858	17000
881	125992	16856
882	126095	16707
883	126197	16559
884	126292	16410
885	126386	16261
886	126480	16113
887	126570	15963
888	126663	15815
889	126756	15666
890	126846	15517
891	126934	15368
892	127024	15220
893	127117	15072
894	127214	14924
895	127312	14777
896	127440	14633
897	127544	14487
898	127659	14342
899	127762	14195
900	127867	14049
901	127957	13902
902	128087	13759
903	128178	13611
904	128268	13464
905	128358	13317
906	128482	13174
907	128618	13031
908	128769	12891
909	128905	12748
910	129065	12609
911	129279	12474
912	129411	12331
913	129559	12190
914	129703	12048
915	129841	11906
916	129989	11765
917	130130	11623
918	130637	11514
919	130791	11373
920	130940	11231
921	131050	11086
922	131240	10948
923	131383	10806
924	131557	10666
925	131858	10537
926	132009	10395
927	132147	10252
928	132337	10114
929	132484	9971
930	132635	9830
931	132798	9689
932	132905	9544
933	133028	9400
934	133118	9254
935	133207	9108
936	133305	8962
937	133451	8820
938	133556	8676
939	133652	8530
940	133754	8386
941	133864	8242
942	133957	8097
943	134089	7954
944	134230	7812
945	134364	7669
946	134475	7526
947	134578	7381
948	134655	7236
949	134749	7092
950	134864	6948
951	135002	6806
952	135100	6662
953	135191	6518
954	135291	6375
955	135427	6233
956	135521	6089
957	135609	5945
958	135737	5803
959	135875	5661
960	135961	5517
961	136052	5374
962	136142	5230
963	136228	5087
964	136312	4943
965	136405	4801
966	136565	4660
967	136674	4518
968	136777	4375
969	136863	4232
970	136952	4090
971	137075	3948
972	137168	3806
973	137255	3663
974	137344	3521
975	137428	3379
976	137521	3237
977	137619	3095
978	137706	2953
979	137798	2812
980	137911	2671
981	138012	2529
982	138097	2388
983	138181	2246
984	138269	2105
985	138353	1964
986	138438	1823
987	138522	1682
988	138605	1541
989	138695	1400
990	138778	1260
991	138908	1120
992	139037	980
993	139193	840
994	139291	699
995	139382	559
996	139467	419
997	139554	279
998	139691	139
999	139781	0
